,de,en,es,fr,pl
2115,"In diesem Zusammenhang, Herr Kommissionspräsident, möchte ich auch die von Ihnen problematisierte Globalisierung und deren Wahrnehmung durch weite Teile der Bevölkerung betrachten.","In this respect, Mr President of the Commission, I too should like to address the issue of globalisation which you speculated on and how it is perceived by large segments of the population.",El Parlamento Europeo ya condenó en su momento este tipo de actuaciones por parte del Presidente Fujimori.,"J' ai entendu, notamment de la part du Conseil, des propos ou des silences quelque peu équivoques qui doivent, à mes yeux, être clairement précisés.","Na zakończenie chciałbym pogratulować panu Lechnerowi znakomitego, świetnie przygotowanego sprawozdania."
2116,"Das Gefühl des Ausgeliefertseins, der mangelnden Einflußmöglichkeit und des fehlenden Schutzes durch den Staat führt im besten Fall zur Abwendung von Politik und zur Wahlenthaltung, wie bei den europäischen Wahlen, und im schlimmsten Fall zu extremistischem Wahlverhalten.","The feeling of being at the mercy of others, of lacking in influence and of having no protection from the state leads in the best case scenario to a lack of interest in politics and a refusal to vote, as in the European elections and, in the worst case scenario, to extremist voting patterns.","El Presidente Fujimori, evidentemente, ha restablecido un grado de calma, si se quiere, en el Perú; pero ha seguido manteniéndose en los cauces autoritarios.","Je pense qu' il nous incombe, en tout premier lieu, de rappeler la référence maîtresse en la matière pour toute la communauté internationale - les résolutions des Nations unies.","Wiemy bowiem doskonale, jak trudno jest zmieniać, szczególnie w tym obszarze, przepisy wspólnotowe."
2117,"Hier hat es die Union, wie alle, noch nicht verstanden, unseren BürgerInnen in der EU die EU als Mittel, ja als Schutz gegen die negativen Auswirkungen der Globalisierung anzubieten.","The Union, like everyone else, has not yet understood how to present the EU to the citizens of the EU as a means of protection against the negative effects of globalisation.","De hecho, yo diría que el Presidente Fujimori, para muchos, no es otra cosa que la representación civil del poder militar ejercido de una manera indirecta.","La solution au problème chypriote, selon le Conseil de sécurité, doit être trouvée dans le cadre d' une fédération bizonale, bicommunautaire, autrement dit un État unique - M. Verheugen y a fait allusion - comportant deux administrations locales mandataires des deux communautés.",w imieniu grupy UEN. - Pani Przewodnicząca! Zielona księga w sprawie poprawy skuteczności wykonywania orzeczeń w Unii Europejskiej jest kolejnym etapem rozwoju europejskiej przestrzeni sprawiedliwości.
2118,"Wir sind dabei, ein Haus zu bauen, aber zu wenige unserer eigenen BürgerInnen fühlen sich in diesem Haus auch wirklich zu Hause.",We are in the process of building a house but too few of our citizens really feel at home in our house.,"Es cierto que sigue habiendo elecciones en Perú, que hay partidos políticos, que hay medios de comunicación y que hay unas ciertas garantías.","La souveraineté, la personnalité internationale et la citoyenneté doivent être uniques et cet État doit être démilitarisé.",Zgadzam się ze stanowiskiem sprawozdawcy wyrażonym w tym opracowaniu i popieram wprowadzenie w Unii Europejskiej szybkiej i skutecznej procedury uzyskiwania nakazu zajęcia rachunku bankowego.
2119,"Daher geht es nicht nur um eine Reform der Welthandelsorganisation und der wirtschaftlichen Architektur - und der Kommissionspräsident hat bezeichnenderweise vergessen, von der Reform der Finanzinstitutionen der internationalen Finanzarchitektur zu sprechen -, sondern es geht auch um vertrauensbildende Maßnahmen für unsere BürgerInnen, die mit Recht von der EU und in der EU Hilfe und Unterstützung bei den unvermeidbaren, aber schmerzhaften Prozessen der Anpassung an die neuen globalen Verhältnisse erwarten dürfen.","What we need are not just reforms of the World Trade Organisation and the economic architecture - and, significantly, the President of the Commission forgot to mention the reform of the financial institutions and international financial architecture; we also need confidence-building measures for our citizens, who rightly expect help and support from and in the EU with the inevitable and painful process of adapting to new global circumstances.",Pero las garantías no son completas.,La communauté internationale indique ainsi clairement qu' elle refuse le fait accompli par la force.,"Na tle rozwijającej się integracji w zakresie obrotu płatniczego w euro takie uregulowanie prawne wydaje się być w szczególny sposób zarówno konieczne, jak i rozsądne."
2120,"In diesem Zusammenhang ist von Bedeutung, was die Kommission über die stärkende Stimme Europas sagt.","In this respect, what the Commission says about boosting Europe' s voice is important.","Prueba de ello es que, con motivo de su proyecto de ser reelegido de nuevo, tres magistrados del Tribunal Constitucional que se opusieron a ello fueron destituidos.","En deuxième lieu, l' Union européenne gagne, je pense, à réduire le plus possible la marge d' interprétation de la position arrêtée par le Conseil européen d' Helsinki.","W związku z wieloma zagrożeniami, jakie niesie dochodzenie roszczeń, uważam, że Unia Europejska powinna wprowadzić autonomiczną dodatkową procedurę, która występowałby równolegle do przepisów krajowych."
2121,"Sie selbst, Herr Präsident, haben heute von einem Modell gesprochen, über das ich leider zu wenig im Dokument finde; Sie haben gesagt, wir müssen unseren Bürgern im Inneren wie auch nach außen auch ein Modell der wirtschaftlichen, sozialen, kulturellen und ökologischen Entwicklung anbieten, das sich deutlich von anderen Modellen unterscheidet, auch vom US-amerikanischen Modell.","You yourself, Mr President, spoke of a model of which, unfortunately, there is little mention in the document. You said that we must offer our citizens a model of economic, social, cultural and ecological development, both internally and towards the outside world, which differs from other models, including the US model.","Es decir, las garantías no son completas.","La solution du problème chypriote ne saurait être un préalable à l' adhésion de Chypre à l' Union, comme l' a rappelé M. Poos.","Powinna ona obowiązywać jedynie w sprawach o charakterze transgranicznym i dotyczyć tylko środków na rachunkach bankowych, a nie innych wartości majątkowych."
2122,"In diesem Sinn sind auch die USA nicht nur unsere Partner, sondern auch unsere Konkurrenten, nicht Gegner, aber Konkurrenten, und wir müssen darum kämpfen, wer das für unsere Bürger beste Modell anbietet.","In this sense, the USA is not only our partner; it is also our competitor; not our opponent, our competitor and we must fight to see which of us offers our citizens the best model.",No hay una independencia del poder judicial o del poder constitucional.,"L' inverse reviendrait de fait à conférer à la Turquie une sorte de droit de veto quant à l' adhésion de Chypre à l' Union européenne, ce qui n' est, naturellement, pas acceptable.","Chodzi tylko o tymczasowe zabezpieczenie roszczeń wierzyciela, a nie o jego ostateczne zaspokojenie."
2123,"Ich würde mir wünschen, daß sich das, was wir heute mit dieser deutlichen Vehemenz gesagt haben, auch verstärkt in den Dokumenten der Kommission findet.",I hope that what we have said so clearly and vehemently here today will also be reinforced in the Commission documents.,"En segundo lugar, el Perú, recientemente, acaba de retirar su aceptación de la jurisdicción obligatoria de la Corte Interamericana de Derechos Humanos, y creo que esto es un signo muy malo para un país.","En troisième lieu enfin, cette position du Conseil européen d' Helsinki ne saurait en retour conduire à tempérer nos efforts pour résoudre le problème chypriote avant l' entrée de ce pays dans l' Union.","Nieuzasadnione zajęcie może mieć dla dłużnika poważne konsekwencje, może również negatywnie wpływać na zaufanie do europejskiego porządku prawnego."
2124,"Herr Präsident! Frau Kommissarin! Frau Kommissarin, Sie üben zu Recht Druck auf die Mitgliedstaaten aus, die die FFH-Richtlinie nicht umgesetzt haben, auch auf den Mitgliedstaat, aus dem ich stamme.","Mr President, Commissioner, you are right, Commissioner, to bring pressure to bear on those Member States who have failed to transpose the flora and fauna directive, and that includes the Member State I come from.",Creo que deberíamos pedir al Gobierno del Perú que reconsiderara esta decisión.,"De ce point de vue, l' autre décision d' Helsinki, à savoir la reconnaissance de la candidature de la Turquie à l' Union, confère aux Quinze une responsabilité nouvelle en même temps qu' elle lui offre des possibilités nouvelles. Son dialogue avec Ankara peut et doit, à mes yeux, intégrer la volonté déterminée d' obtenir de la Turquie qu' elle montre vis-à-vis du dialogue entre les deux communautés chypriotes une attitude constructive, respectueuse de la légalité internationale et permettant d' aboutir à une Chypre réunifiée et à la paix en Méditerranée orientale.","Dlatego uważam, ze szczególną uwagę należy poświęcić ochronie dłużnika, na przykład w postaci składania zabezpieczenia przez wierzyciela, prawa do złożenia sprzeciwu, ograniczenia wysokości kwoty egzekucji czy w końcu zobowiązania wierzyciela do złożenia w ustalonym terminie wniosku o wszczęcie postępowania sądowego z powództwa głównego."
2125,"Zu Recht, weil die Ansprüche an unsere natürlichen Lebensräume bestehen und wir diese Natura-2000-Gebiete endlich umsetzen müssen.","You are right to do so because demands are being made on our natural habitats, and we must transpose these Natura 2000 regions at long last.","Y, en tercer lugar, en este momento, hay todavía acciones militares en el interior del Perú que, en muchos casos, ponen en dificultad la democracia.","Monsieur le Président, excusez-moi, mais il y a eu une petite erreur de traduction dans la cabine française, à propos de ce que vient de dire M. Alyssandrakis, sur le mot le plus sensible de tout le débat.",Pani Przewodnicząca! Przepisy w zakresie prawa egzekucyjnego często określa się mianem pięty achillesowej europejskiego wymiaru sprawiedliwości w sprawach cywilnych.
2126,"Wenn das jedoch passiert, dann haben wir natürlich einen immensen Bedarf an LIFE-Natura-Geldern, weil wir in diesen Gebieten, die dann endlich ausgewiesen werden, natürlich auch Erhaltungsmaßnahmen zu finanzieren haben, und das in einer Situation, wo wir nicht einmal das, was wir mit LIFE I und II erreicht haben, stabilisieren können.","However, if that happens then of course we will have a huge need for LIFE-Natura funding, because of course we will also have to finance conservation measures in these areas, which are ultimately to be designated, and that at a time when we cannot even stabilise the things we have achieved with LIFE I and LIFE II.","Hay que recordar que el Perú está vinculado a la Unión Europea, como miembro del Pacto Andino, por una cláusula democrática y la Comunidad Europea, concretamente las instituciones comunitarias, tienen una cierta responsabilidad de, en virtud de esa cláusula democrática, pedir que el proceso electoral en Perú se ajuste, en la medida de lo posible, a unas exigencias democráticas esenciales.",Je ne voudrais pas qu'il puisse y avoir une ambiguïté.,Do tej pory nie zgłoszono żadnego wniosku legislacyjnego w sprawie samych środków egzekucji wyroków i wykonanie nakazu sądowego po stwierdzeniu jego wykonalności w innym państwie członkowskim pozostaje wyłączną domeną prawa krajowego.
2127,"Angesichts dieser Situation, daß jetzt mit Macht FFH-Gebiete durchgesetzt werden müssen, brauchen wir eindeutig auch mehr Geld im Bereich von LIFE.","Given this situation, i.e. that flora and fauna areas now have to be transposed with a vengeance, we will definitely need more money for LIFE as well.","Señor Presidente, el próximo 9 de abril se celebran en la República del Perú elecciones presidenciales y legislativas para elegir a los 90 miembros del Congreso.","La traduction, en français, a fait dire à M. Alyssandrakis que ""la solution confédérale est la meilleure"".",Panujące obecnie zróżnicowanie zasad egzekwowania należności w poszczególnych państwach członkowskich Unii Europejskiej znacząco utrudnia ściąganie długów za granicą.
2128,"Dabei wende ich mich auch an den Rat: Der Rat ist Weltmeister im Beschließen von Ausgaben gerade im Bereich der Außenpolitik, die wir dann in unserem Haushalt irgendwie zu finanzieren haben.","This brings me on to the subject of the Council, which is a past master when it comes to decisions on expenditure, particularly in the sphere of foreign policy, which we then have to find the money for in our budget.","La Unión Europea, como se ha recordado aquí, mantiene relaciones con el Perú en el marco del acuerdo de cooperación suscrito con el Pacto Andino, vigente desde el año 1998.","Il est évident que M. Alyssandrakis a dit : ""la solution fédérale est la meilleure"".","Wierzyciele dążący do egzekucji nakazu w innym kraju stają wobec nieznanych im systemów prawnych, wymogów proceduralnych, a także wobec bariery językowej, która powoduje dodatkowe koszty i opóźnienia w postępowaniu egzekucyjnym."
2129,Ich nenne nur die Bosnien-Hilfe - da kürzen wir in allen möglichen Bereichen.,I need only mention the aid for Bosnia - we are cutting back on all fronts there.,"Ese acuerdo ha producido sus frutos y la Unión Europea es el principal cooperante en términos económicos con el Perú y también el primer inversor -junto con los Estados miembros-, puesto que, en los últimos siete años, ha invertido más de 6.500 millones de dólares.","Il est très, très important que ce soit précisé, Monsieur le Président.",Problemy ze ściąganiem długów zagranicznych stanowią przeszkodę w swobodnym przepływie nakazów zapłaty w Unii oraz utrudniają prawidłowe funkcjonowanie rynku wewnętrznego.
2130,"Hier dagegen weigert sich der Rat in einem Bereich, in dem es doch um unsere nachhaltige Entwicklung geht, in einer längerfristigen Perspektive den LIFE-Haushalt um die doch im Verhältnis zum Gesamthaushalt lächerlichen Beträge aufzustocken.","On the other hand, the Council refuses to take a more long-term view and increase the LIFE budget by what is in fact a derisory amount in the context of the overall budget, for an area which, when all is said and done, is all about us creating sustainable development.","En ese contexto de amistad y de cooperación que nos une con la República del Perú, confiamos en que las próximas elecciones presidenciales y legislativas se celebren de forma justa y transparente, de acuerdo con los principios universalmente reconocidos, y que sirvan para consolidar y profundizar el Estado de Derecho y la madurez democrática de las instituciones peruanas.","Monsieur le Président, chers collègues, disons-le tout de suite, en matière de coopération, la cohérence est loin d'être de rigueur.","Opóźnione oraz niezrealizowane płatności zagrażają zarówno interesom firm, jak i konsumentów."
2131,"Das kann ich in keiner Art und Weise verstehen, und ich bitte alle Kollegen nachdrücklich, den Antrag der Kollegin Lienemann auf Erhöhung auf 850 Millionen Euro zu unterstützen.",I cannot fathom this at all and expressly call upon all my fellow MEPs to support Mrs Lienemann' s motion on raising the funding to EUR 850 million.,Esperamos que todos los partidos políticos puedan concurrir a estas elecciones en libertad e igualdad de condiciones.,"Les Traités prévoient en effet que l'Union européenne aide les pays en voie de développement dans leur développement, mais comme l'ont déjà très bien dit les autres collègues, il existe de multiples distorsions à ces déclarations.","Dlatego też propozycja Komisji dotycząca wprowadzenia jednolitego europejskiego aktu prawnego występującego autonomicznie i równolegle do przepisów krajowych wydaje się być niezbędna, a nawet konieczna."
2132,"Die gegenseitige Abhängigkeit in Fragen der Gesamtwirtschaft, Beschäftigungspolitik und des Sozialschutzes im Binnenmarkt erfordert hier auch gemeinsame Überlegungen auf Gemeinschaftsebene.","The mutual interdependence of issues pertaining to the national economy, employment policy, and social protection in the internal market calls for there to be joint deliberations at Community level in this respect.","Desde 1980 hasta hace apenas dos meses, había regiones del Perú bajo control de las fuerzas armadas, debido a la inseguridad generada por el terrorismo de Sendero Luminoso, que ha costado al Perú -y esto es lo más grave- 25.000 vidas en los últimos quince años y pérdidas superiores a los 30.000 millones de dólares.",La première incohérence tient à l'absence de concertation entre l'Union et les États membres sur leurs politiques de coopération respectives.,Podstawę prawną tego dokumentu stanowić może artykuł 65 punkt c Traktatu ustanawiającego Wspólnotę Europejską.
2133,Die Gleichstellung von Mann und Frau ist weder im Arbeitsleben noch auf dem Gebiet des Sozialschutzes erreicht.,We have not achieved equal rights for men and women either in the sphere of work or that of social protection.,"En octubre de 1998 se firmó el acuerdo de paz con Ecuador, que era otro motivo de conflicto y de presencia de las fuerzas armadas en zonas fronterizas, y desde entonces se han realizado esfuerzos para readaptar y reorganizar la presencia de las fuerzas armadas que, en nuestra opinión, deben ser continuados.","Cela entraîne des dysfonctionnements majeurs, puisque certains programmes communautaires viennent s'ajouter à des programmes nationaux, alors qu'ils auraient pu aider d'autres projets qui restent sans suite.",W związku z tym zgodnie z założeniem zielonej księgi wierzyciel powinien mieć możliwość złożenia wniosku o wydanie nakazu zajęcia rachunków bankowych również przed wszczęciem postępowania głównego.
2134,Die Arbeitslosenquote liegt bei Frauen erheblich höher als bei Männern.,The unemployment rate for women is considerably higher than that for men.,"Señor Presidente, no quisiera concluir sin mencionar el hecho de que, con independencia de que el Perú sea parte de la Convención americana de derechos humanos, nos inquieta la retirada de la República del Perú del ámbito de la jurisdicción contenciosa de la Corte Interamericana de Derechos Humanos.",Rappelons également que la politique néocolonialiste de fait de certains États membres ne contribue nullement au développement des pays soi-disant aidés.,"Z uwagi na doraźny charakter procedury wierzyciel powinien być jednak zobowiązany do uwiarygodnienia istnienia swojego roszczenia, a także pilności wydania nakazu zajęcia."
2135,"Frauen haben nach wie vor einen erschwerten Zugang zu Berufen, und ihr Anteil an prekären und Teilzeitarbeitsplätzen ist weitaus höher.",It is still much more difficult for women to gain access to certain professions and there are far more women than men in precarious and part-time jobs.,"Por eso, precisamente, quisiéramos aprovechar este debate para pedir al Perú que reconsiderase su decisión y volviese a integrarse en los trabajos y en la jurisdicción de esta Convención.",La deuxième incohérence tient à l'aide apportée aux régimes despotiques.,"Nieuzasadnione zajęcie może mieć bowiem dla dłużnika bardzo poważne konsekwencje, nawet pozbawiające go podstaw egzystencji."
2136,Das Lohnniveau der Frauen liegt immer noch weit unter dem der Männer.,Wage levels for women are still way below those for men.,Crímenes de guerra en Chechenia,"On déclare obligatoire la bonne gouvernance et la fin de la corruption, mais on continue à déverser des centaines de milliers d'euros sur des comptes en Suisse, via le portefeuille d'un certain nombre de chefs d'État.",Dodatkowo ważną kwestią jest prawo dłużnika do złożenia sprzeciwu oraz ustalenie wysokości kwoty egzekucji.
2137,"Hieraus folgt ein geringer oder gänzlich fehlender Sozialschutz, da nach den geltenden Systemen die bezahlte Arbeit als Grundlage dient.","As a result, they have a low level of social protection or none whatsoever, for paid employment serves as the basis for this according to systems currently in force.","Señor Presidente, como ha dicho la oradora anterior, nos dirigimos con esta resolución a las partes del Convenio CITES que se reunirán en Nairobi en abril.",La troisième incohérence est liée aux droits de l'homme.,Nie wydaje się być dobrym pomysłem ustalenie jednolitego limitu kwoty zwolnionej z egzekucji na szczeblu Unii Europejskiej.
2138,"Viele Frauen genießen lediglich abgeleitete Rechte, was ihre wirtschaftliche Abhängigkeit verstärkt.","Many women are only accorded derived rights, which reinforces their economic dependence.","Y nos dirigimos para intentar preservar especies amenazadas de nuevo; especies tales como el pangolín asiático, los gorilas del Congo, los elefantes -por la venta del marfil-, y otras especies que se mencionan en la resolución.",On dit vouloir les protéger.,Tę decyzję należy pozostawić w gestii prawodawstwa kraju dłużnika.
2139,"Angesichts der veränderten wirtschaftlichen und sozialen Umstände sollte ein vom Partner unabhängiger, individualisierter Sozialschutz angestrebt werden, der dauerhafte Sicherheit gewährt.","In view of the fact that economic and social conditions have changed, we should aim to achieve individualised social protection, with people being treated independently of their partners, and guaranteed lasting security.",Voy a referirme brevemente a tres medidas imprescindibles que deberían tomarse en Nairobi en los próximos días.,On incite les pays en voie de développement à les respecter.,W kwestii doręczenia postanowień o zajęciu wierzytelności z rachunków bankowych ważnym jest zapewnienie stworzenia jednolitych norm w Unii Europejskiej dotyczących komunikacji między sądami i bankami.
2140,Arbeit muß aber bei allen notwendigen Abgaben immer auch noch lohnend bleiben!,"However, it must still be worth an individual' s while to work, notwithstanding all the necessary contributions.","La primera es la información y concienciación de la opinión pública, los que compran y los que venden.",On vote même de multiples résolutions pour condamner chaque atteinte à ceux-ci.,"Regulacja problemu odzyskiwania długów za granicą, w drodze przyjęcia odnośnego aktu prawnego, wydaje się być niezbędna."
2141,Eine Reform des Sozialschutzes muß die Förderung und versicherungsrechtliche Anerkennung von Kindererziehungszeiten bzw. auch der Betreuung hilfsbedürftiger Familienangehöriger umfassen.,"Reforming social protection must encompass support for and recognition of, in insurance law terms, the time it takes to bring up children, as well as care of needy family members.","La segunda, mecanismos de sanción para quienes no hayan adoptado todavía medidas legales que impidan la impunidad, sobre todo de cazadores furtivos.","On s'associe également aux protestations, aux campagnes internationales.",Nie można jednak zapomnieć o konieczności przeprowadzenia uprzednio dogłębnej analizy regulacji już stosowanych w poszczególnych krajach Wspólnoty oraz rozważenia skuteczności rozwiązań alternatywnych wobec przepisów europejskich.
2142,"Erschreckend ist die immer mehr steigende Zahl älterer Frauen, die in Armut leben.",It is shocking that an ever-increasing number of elderly women live in poverty.,"Y la tercera, cooperación con los países en vías de desarrollo, en cuyas zonas rurales, en ocasiones, no hay más medios de sobrevivir que traficar y comerciar con las especies amenazadas.","Pourtant, dans le même temps, on laisse le commerce des armes se développer, sans même se soucier de limiter le commerce des armes les plus atroces : les mines antipersonnel, par exemple.",Na koniec pragnę pogratulować sprawozdawcy panu Lechnerowi bardzo dobrze przygotowanego i wyważonego sprawozdania.
2143,Sie konnten durch ihren Einsatz für die Familie keinen Beitrag zu den sozialen Sicherungssystemen leisten; doch auch diese Frauen müssen abgesichert sein.,"They were unable to contribute to the social security systems because of the time they invested in bringing up their families, but they too must be afforded protection.","Señor Presidente, señor Comisario Liikanen, colegas, quiero, antes de entrar en lo que va a ser mi intervención en nombre de la Comisión de Empleo y Asuntos Sociales, expresarle, de una manera muy sincera y muy calurosa, nuestro agradecimiento a la ponente, Sra. Read.",Et on ne fait pas grand-chose pour véritablement empêcher les violations des droits de l'homme.,Pani Przewodnicząca! Problem skutecznej egzekucji roszczeń pieniężnych na obszarze Unii Europejskiej jest bardzo ważny ze względu na zapewnienie prawidłowego funkcjonowania rynku wewnętrznego.
2144,Der Anspruch auf ein hochwertiges Gesundheitssystem muß ungeachtet des wirtschaftlichen Leistungsvermögens des Einzelnen gewährleistet sein.,"An individual' s entitlement to high-quality health care must be assured, irrespective of their contribution to the economy.","Hemos trabajado contra reloj y hemos tenido enfrente a una excelente colega, solidaria y que ha estado muy abierta para acoger todas las perspectivas que nuestra comisión ha querido introducir en este importante debate.",La quatrième incohérence de la politique de coopération de l'Union européenne est la suivante : comment voulez-vous aider au développement en pillant les ressources naturelles de ceux que vous aidez ?,Należy rozważyć możliwość podjęcia działań wspólnotowych w tej dziedzinie.
2145,Nach wie vor sind die Mitgliedstaaten grundsätzlich zuständig für die Gestaltung und Finanzierung ihrer Sozialschutzsysteme.,"As before, in principle it is the Member States that are responsible for framing and financing their social protection systems.","Muchas gracias, señora Read, por su informe y por su talante.","Il faut que l'Union européenne laisse leurs poissons aux pêcheurs locaux pour nourrir les populations locales, au lieu de détruire systématiquement les fonds marins avec sa pêche intensive.","Jednym z bardzo ciekawych powiedzeń, które ja usłyszałem również w swojej praktyce prawniczej, brzmi: ""Wyświadczając komuś przysługę, stajemy się jego dłużnikiem”."
2146,"Doch die Zusammenarbeit innerhalb der EU durch die Expertengruppe, in der natürlich Frauen angemessen vertreten sein müssen, kann langfristig zu einer Annäherung der Sozialsysteme beitragen.","Nevertheless, cooperation within the EU on the part of the expert working group, in which women must be suitably represented, could be instrumental in bringing about convergence of the social systems in the long term.","La Comisión ha presentado, de cara a la cita del Consejo Europeo extraordinario de Lisboa de los próximos días 23 y 24 de marzo, una iniciativa muy importante, la iniciativa e-Europa, que ha sido saludada por mi Comisión de Empleo y Asuntos Sociales con apoyo y con esperanza.",Il faut laisser les matières premières aux producteurs locaux pour qu'ils les transforment.,Czasami to prawda.
2147,"Herr Präsident! Anders als einige meiner Kollegen in der heutigen Debatte neige ich dazu, dem Andersson-Bericht zuzustimmen, u. a. deshalb, weil ich sehr deutliche Unterschiede zu den Mitteilungen der Kommission sehe.","Mr President, unlike several of those who have spoken in today' s debate, I am inclined to endorse the Andersson report, one of the reasons for this being that I can see clear differences between the report and the Commission' s communications.","La Comisión es, sin duda, muy generosa, pero, cuando se ve la cuestión desde la perspectiva de los trabajadores y de la gente más desfavorecida, sigue sin dar respuesta a preguntas que ya hizo este Parlamento en muchos documentos, por ejemplo en el Libro Verde ""Vivir y trabajar en la sociedad de la información: prioridad para las personas"" , porque seguimos sin saber muy bien quién va a financiar este gigantesco esfuerzo de alfabetización digital que hay que hacer en Europa para superar el gap que tenemos con Estados Unidos.","On ne parlera même pas du pétrole, car nous connaissons malheureusement la politique de groupes comme Elf ou Total en Afrique.","Opóźnienia oraz nierealizowanie płatności zagrażają zarówno interesom firm, jak i konsumentów."
2148,"Insbesondere meine ich, daß dieser Bericht - und dazu möchte ich den Berichterstatter beglückwünschen - den solidarischen Ansatz des europäischen Sozialmodells verteidigt.","In particular, I am referring to the fact that this report - and I would like to congratulate the rapporteur on this - defends the European social model' s approach, which is one based on solidarity.","No sabemos muy bien cómo se dividen las responsabilidades entre gobiernos y Comisión, qué papel tienen los sindicatos en la sociedad civil.","Pour aller plus loin, et ce sera peut-être bientôt la cinquième incohérence, nous demandons de respecter la biodiversité, entre autres pour permettre à tous de produire avec leurs propres semences et pour préserver la richesse naturelle. Mais dans le même temps - et on l'a encore vu lors des dernières négociations - on oblige les pays ACP à signer les accords TRIPS, alors que ceux-ci risquent d'être élargis au vivant.","Różnice w skuteczności uzyskiwania należności, z którymi spotykamy się aktualnie w Unii Europejskiej, mogą powodować zakłócenia konkurencyjności wśród firm działających nie tylko na obszarze danego państwa członkowskiego."
2149,"Ich möchte die klaren Positionen gegen Sozialdumping hervorheben sowie das Recht auf soziale Grundsicherung, das Ziel der sozialen Konvergenz und insbesondere das, was in sehr konkreter Form zur Chancengleichheit von Frauen als Leitziele für die Sozialpolitik genannt ist.","I would like to highlight the clear positions adopted against social dumping, together with the right to a basic level of social security, the goal of social convergence, and, in particular, the quite specific points that have been made about equal opportunities for women being the primary objectives of this social policy.","De modo que queremos que se tomen en consideración análisis complementarios y que haya compromisos más concretos, que haya un punto específico donde se refuerce el empleo y la cohesión social en la sociedad de la información -porque no existe nada sobre ello en la comunicación de la Comisión- y que haya una estrategia con directrices, con recomendaciones, con indicadores.","Pourtant, cet élargissement signifierait la mort de la biodiversité et le retour à un esclavagisme de fait pour les petits agriculteurs du Sud livrés aux multinationales.",Systemy egzekucji nakazów różnią się w poszczególnych państwach.
2150,"Ich sehe auch die Defizite hinsichtlich einer ungenügend konsequenten Auseinandersetzung mit der makrowirtschaftlichen Politik in der Europäischen Union, die dieser solidarischen Erneuerung des europäischen Sozialstaatsmodells entgegensteht, aber alles in allem schätze ich diesen Bericht positiv ein.","I can certainly see that it has its shortcomings in failing to undertake a sufficiently rigorous analysis of macroeconomic policy within the European Union, and it is this policy which stands in the way of the aforementioned solidarity-based revival of the European social state, model. All in all, though, I deem this report to be worthwhile.","Queremos que se hable de los mayores, no solamente de los jóvenes, que se hable de los colectivos desfavorecidos, queremos que ustedes recuerden también la igualdad de oportunidades.","Par contre, et c'est une sixième incohérence, on ne défend pas l'application des Traités existants.","W niektórych są one skuteczne, w innych mniej."
2151,Herr Präsident! Schönen Dank auch an die Berichterstatterin!,"Mr President, I would like to thank the rapporteur.",La nueva sociedad no puede ser motivo de una nueva desigualdad entre hombres y mujeres.,"Ainsi, d'un côté, on vote une enveloppe budgétaire pour la lutte contre le sida, et, de l'autre, on ne fait rien pour imposer le respect des licences obligatoires dans le cadre, justement, desdits TRIPS, ce qui permettrait pourtant aux pays en voie de développement de produire leurs propres médicaments et de freiner l'hécatombe provoquée par le sida.","Aktualnie możemy stwierdzić, że dłużnicy mają możliwość prawie natychmiastowego przeniesienia środków z rachunków znanych wierzycielowi na inne, w tym samym bądź innym kraju członkowskim."
2152,"Ich denke, sie hat ein paar wichtige Punkte angesprochen, auf die ich auch gleich noch einmal zu sprechen kommen werde.","I believe she has touched on a few important points, which I intend to raise again myself very shortly.","Tenemos, señor Comisario, grandes oportunidades, pero tienen que llegar a la población entera.","Toujours dans le même sens, lors des négociations de l'OMC, et alors que le rapport Schwaiger notait, dès le deuxième paragraphe, que le processus actuel de libéralisation des échanges ne profite guère à de larges secteurs de la population des pays en développement, notamment les plus pauvres, l'Union européenne continue à défendre la libéralisation des échanges commerciaux et met fin, certes avec quelques années de transition, au régime favorable accordé aux pays ACP alors qu'il aurait fallu renforcer celui-ci, en particulier pour les pays les plus pauvres.",Uniemożliwia to zablokowanie tych środków prze wierzycieli.
2153,"Zuerst einmal, wir diskutieren über die Zustimmung des Parlaments zu den angesprochenen Verträgen unter WIPO.","First and foremost, we are discussing Parliament' s assent to the aforementioned WIPO treaties.",Y queremos que se defienda el modelo social europeo.,La huitième incohérence est d'ordre politique et pratique.,Ponadto wierzyciele starający się o egzekucję nakazu w innym kraju członkowskim stają wobec nieznanych im systemów prawnych i wymogów proceduralnych.
2154,"Noch ist nichts in Kraft, die Entscheidung des EP hat diesmal also Gewicht.",Nothing is in force yet and so this time Parliament' s decision will carry some weight.,"Por lo tanto, les pedimos un paso adelante, que asuman compromisos más concretos y que haya esfuerzos políticos y financieros mucho más precisos.","On dit toujours : penser globalement, agir localement.",Nie bez znaczenia jest tu też bariera językowa oraz koszty postępowania.
