,de,en
1794,"Ich stelle zudem fest, daß das Parlament die Auffassung der Kommission teilt, derzufolge der Durchführung von LEADER + in Form von Globalzuschüssen der Vorrang zu geben ist.","In addition, I note that Parliament shares the Commission' s view that the preferred form for implementing LEADER+ is the use of global grants."
1795,"Um zu einigen Einzelfragen zu kommen, die hier aufgeworfen wurden, kann ich auch bestätigen, daß wir eine möglichst weitgehende Partnerschaft und Teilnahme an LEADER + haben wollen.","Turning now to some of the individual questions raised here today, I can also confirm that we wish to have the widest possible partnership and participation in LEADER+."
1796,"Die verschiedenen Gruppen, seien es Umweltorganisationen oder Gruppen, denen die Beschäftigung ein Anliegen ist, haben die Möglichkeit, bei der Erstellung der Richtlinien der Kommission mitzuarbeiten.","The various groups, be they environmental organisations or groups concerned with employment, have the possibility of taking part in drafting the Commission directives."
1797,"Und es werden auch nicht weniger, sondern mehr Mittel als in der laufenden Periode zur Verfügung stehen.",And there will not be less funds available than in the current period either; there will be more.
1798,"Ich möchte auch daran erinnern, daß es nicht neu ist, daß wir eine Beobachtungsstelle einrichten.",I should also like to remind you that the idea of setting up an observatory is nothing new.
1799,Diese Beobachtungsstelle hat es auch schon bei LEADER I und bei LEADER II gegeben.,There was also an observatory under LEADER I and LEADER II.
1800,"Diese Stelle hat ausschließlich den Zweck, gerade die Vernetzung zwischen den einzelnen LEADER-Gruppen in Gang zu halten.",It has one purpose only and that is precisely to maintain active networking between the individual LEADER groups.
1801,Die Finanzierung dieser Beobachtungsstelle darf 2 % der LEADER-Mittel nicht übersteigen.,The cost of this observatory is not permitted to exceed 2% of the LEADER budget.
1802,"Was die Möglichkeit von Projekten anbetrifft, die das Training und die Ausbildung zum Inhalt haben, so darf ich darauf hinweisen, daß das genau ein Punkt ist, den wir jetzt in die neue ländliche Entwicklungspolitik integriert haben, so daß es aus unserer Sicht nicht mehr notwendig ist, dies im Rahmen von LEADER zu tun.","As far as the possibility of having projects containing training initiatives is concerned, I might point out that this is precisely a point which we have now integrated into the new rural development policy, which means, in our view, that it is no longer necessary to do this as part of LEADER."
1803,Nun zu dem Inhalt des Berichts.,I now come to the content of the report.
1804,"Im Punkt 14 fordert das Parlament die Kommission auf, umgehend einen Bericht über die Evaluierung von LEADER II zu liefern.","In point 14, Parliament calls on the Commission to submit an evaluation report on LEADER II immediately."
1805,"Ich möchte Sie nur darauf hinweisen, daß das zum derzeitigen Zeitpunkt nicht sehr viel Sinn macht, weil ja nach wie vor - und zwar bis Ende 2001 - Mittel nach LEADER II abgerechnet werden können.","I should simply like to point out that this does not make very much sense at the present time because, as you know, it is still possible - and in fact will be until the end of 2001 - for LEADER II funds to be disbursed."
1806,"Daher sind wir der Meinung, daß es sinnvoller ist, diese Evaluierung erst nach Abschluß des Programms durchzuführen.",We therefore think that it would be more sensible to wait until the programme' s conclusion before carrying out the evaluation.
1807,Selbstverständlich werden wir das tun und Ihnen auch einen Bericht dazu zukommen lassen.,We will obviously do this and will also forward a report to you on it.
1808,"Im Punkt 18 schlägt das Parlament vor, ein Kompendium von Beispielen für gelungene Initiativen herauszubringen.","In point 18, Parliament suggests publishing a compendium of examples of successful initiatives."
1809,"Dazu kann ich nur sagen, dieses gibt es bereits.",In response I can only say that this already exists.
1810,"Es ist bereits von der Kommission erarbeitet worden, und ich kann das jedem interessierten Mitglied dieses Hauses zur Verfügung stellen.",It has already been compiled by the Commission and I can make a copy available to any Member of this House who is interested.
1811,"In Punkt 21 betont das Parlament, daß die Leitlinien zu LEADER+ nunmehr rasch zu verabschieden sind, damit die Programme anlaufen können.","In point 21, Parliament stresses that the guidelines in LEADER+ now need to be adopted quickly so that the programmes can start."
1812,Dieses Anliegen kann ich nur voll teilen.,I can only fully share your concern.
1813,"Sobald die Stellungnahme hier im Parlament verabschiedet ist, werden die Leitlinien für LEADER+ erneut dem STAR-Ausschuß vorgelegt, damit die Mitgliedstaaten ihre am 14. November erteilte vorläufige Zustimmung bestätigen können.","As soon as the opinion is adopted here in Parliament, the guidelines for LEADER+ will again be presented to the STAR Committee so that the Member States can confirm the provisional agreement which they gave on 14 November."
1814,"Ich gehe davon aus, daß die Kommission dann im März/April die endgültige Fassung der Leitlinien annehmen kann.",I assume that the Commission will then be able to adopt the definitive version of the guidelines in March or April.
1815,"Und sobald diese im Amtsblatt veröffentlicht sind, bleiben dann nurmehr die Monate, und zwar sechs Monate, um LEADER+-Programme einzureichen.",And as soon as these are published in the Official Journal the remaining months - in fact six months - can be used to submit LEADER+ programmes.
1816,"Ich glaube, es ist wichtig, auf eines hinzuweisen: Ausgaben im Rahmen von LEADER+ sind ab dem Zeitpunkt förderfähig, ab dem das Programm der Kommission vorliegt.",I believe that it is important to point out one thing: expenditure effected under LEADER+ is eligible from the time that the Commission programme starts running.
1817,"Bei jenen Programmen, die vor dem 30. April dieses Jahres eingereicht werden, besteht auch die Möglichkeit, rückwirkend den 1. Januar als Beginn der Förderfähigkeit festzusetzen.",For all programmes submitted before 30 April of this year it will be possible to backdate the beginning of the period of eligibility to 1 January.
1818,Unter Punkt 20 schließlich enthält der Entschließungsentwurf sieben konkrete Änderungsvorschläge der Leitlinien.,"Finally, under point 20 the motion for a resolution contains seven specific proposals for amendments to the guidelines."
1819,"Nach eingehender Prüfung kann ich Ihnen sagen, daß die Vorschläge unter den Ziffern 2, 4, 5 und 7 für die Kommission akzeptabel sind und angenommen werden.","Having given them thorough consideration, I can tell you that the proposals made under paragraphs 2, 4, 5 and 7 are acceptable to the Commission and are adopted."
1820,"Der Vorschlag der Ziffer 6 wird ebenfalls teilweise übernommen, weil bekräftigt wird, daß die Frist für die Genehmigung der Programme im Rahmen von LEADER+ höchstens fünf Monate beträgt.",The proposal in paragraph 6 will also be partly accepted because it reaffirms that the time allowed for approving programmes under LEADER+ is a maximum of 5 months.
1821,"Der Änderungsantrag unter Ziffer 1 ist in der Zwischenzeit aus unserer Sicht hinfällig, weil im Anschluß an die Beratungen mit den Vertretern der Mitgliedstaaten im Star-Ausschuß dieser Punkt bereits im Sinne des Parlaments umformuliert wurde.","The amendment proposed under paragraph 1 has, in our view, been overtaken by events because, following consultations with the representatives of the Member States in the STAR Committee, this point has already been reworded along the lines proposed by Parliament."
1822,"Daher bleibt nur der Änderungsvorschlag unter Ziffer 3. Die Kommission kann sich diesem Änderungswunsch nur anschließen, denn er entspricht ja genau dem, was die Kommission selber ursprünglich vorgeschlagen hatte.",That therefore leaves only the amendment proposed under paragraph 3. The Commission can only endorse this request because of course it corresponds precisely to what the Commission itself had originally proposed.
1823,"Ich muß aber hinzufügen, daß den Mitgliedstaaten die Zusammenarbeit unserer Aktionsgruppen mit vergleichbaren Gruppen in Drittländern zu weit gegangen ist.","I must add, however, that cooperation between our action groups and similar groups in third countries went too far for the Member States."
1824,"Es ist daher zu einer Änderung im Ausschuß gekommen, aber die Kommission wird jetzt neuerdings in der überarbeiteten Fassung dem Anliegen des Parlaments Rechnung tragen und die Leitlinien so einbringen.","An amendment was therefore made in the committee, but the Commission will now again take account of Parliament' s concern in the revised version and table the guidelines in that form."
1825,"Sie wird auch weiter dafür kämpfen, daß das für die Mitgliedstaaten akzeptabel wird.",It will also continue to fight for Member States' acceptance of this.
1826,"Kurz zu den 13 Änderungsanträgen, die eingereicht wurden.",I will comment briefly on the 13 amendments tabled.
1827,"Hier kann die Kommission nur drei nicht akzeptieren, nämlich die Anträge 3, 12 und 13. Alle anderen kann sie entweder vollständig oder dem Sinne nach akzeptieren.","Here there are only three which the Commission cannot accept, Amendments Nos 3, 12 and 13. It can accept all of the others either in full or in essence."
1828,"Herr Präsident, Herr Kommissar Byrne! Die Richtlinie 70/524 sieht derzeit eine unterschiedliche Behandlung der technisch hochentwickelten Zusatzstoffe hinsichtlich der Ersetzung der bestehenden Zulassungen vor.","Mr President, Commissioner Byrne, under Directive 70/524, high-technology additives are treated differently, depending on the date of authorisation."
1829,"Hier hat nun die Kommission vorgeschlagen, eine Harmonisierung im Zulassungsverfahren durchzuführen, so daß die Stoffe, die vor 1988 zugelassen wurden, mit denen gleichgestellt sind, die jetzt zugelassen werden.",The Commission has proposed harmonising the authorisation procedure so that substances licensed before 1988 are put on an equal footing with substances authorised now.
1830,So weit finden wir vom Ausschuß für Landwirtschaft und ländliche Entwicklung das in Ordnung.,"As far as we in the Committee on Agriculture and Rural Development are concerned, so far so good."
1831,"Allerdings umfaßt diese Richtlinie auch die Zulassung von Antibiotika, Arzneimitteln, Wachstumsförderern und genetisch veränderten Organismen.","However, the directive also encompasses the authorisation of antibiotics, drugs, growth-promoters and genetically-modified organisms."
1832,"Hier geht es um Gesundheit und nicht um eine einfache Rechtsangleichung. Deswegen sind wir vom Agrarausschuß der Ansicht, daß die Rechtsgrundlage - Artikel 37 - hier nicht zulässig ist, sondern daß die Kommission uns eine Rechtsgrundlage auf Artikel 152, d. h. Mitentscheidung des Parlaments, vorschlagen muß.","That makes it a question of health, not just approximating laws, which is why we in the Committee on Agriculture take the view that the legal base - Article 37 - is not admissible here and that the Commission should submit its proposal to us on the basis of Article 152, that is to say with codecision by Parliament."
1833,"Wir haben unseren Rechtsausschuß gefragt, der hinsichtlich dieser Rechtsangleichung darauf hingewiesen hat, daß in diesem Falle Artikel 37 ausreichend wäre.","We asked the opinion of the Committee on Legal Affairs and the Internal Market, which pointed out that, as far as approximating laws is concerned, Article 37 is adequate in this case."
1834,"Wir vom Agrarausschuß haben uns jedoch nicht auf die Behandlung dieser Rechtsangleichung beschränkt, sondern wir haben hinsichtlich der Tatsache, daß es in diesem Vorschlag auch um genetisch veränderte Organismen geht, einen weiteren Änderungsvorschlag eingereicht, und der geht nun auf die inhaltliche Frage und damit auch auf die Gesundheit der Bevölkerung ein.","However, we in the Committee on Agriculture have not confined ourselves to approximating laws; because this proposal also encompasses genetically-modified organisms, we have tabled a further proposed amendment which affects the content and hence public health."
1835,"Wir haben in der Saatgutrichtlinie zwei Jahre mit der Kommission verhandelt und einen Kompromiß gefunden, der in dieser Richtlinie die Freisetzung von genetisch veränderten Organismen regelt. Wir sind da von dem Text ausgegangen, der dieser Richtlinie 70/524 zugrunde liegt.","We negotiated with the Commission for two years on the seed directive and came to a compromise regulating the release of genetically-modified organisms in the directive, taking the text on which Directive 70/524 is based as a starting point."
1836,"Es ist uns unverständlich, Herr Byrne, warum die Kommission, wenn sie Angleichungen vornimmt, nicht auch die Angleichung im Text hinsichtlich der genetisch veränderten Organismen vornimmt.","Mr Byrne, we fail to understand why the Commission is not approximating the text on genetically-modified organisms as part of its harmonisation work."
1837,"Wir haben nun einen Änderungsvorschlag eingereicht, der genau diesen Kompromiß der Kommission im Wortlaut zum Gegenstand hat.",We have now tabled a proposed amendment on precisely this compromise with the Commission on the text.
1838,"Übrigens wurde dieser Wortlaut auch bei der Forstrichtlinie zur Verwendung von forstlichem Saatgut übernommen, und wir sind der Ansicht, daß es dringend geboten ist, diesen Text nun auch in diese Richtlinie aufzunehmen.","Moreover, this text has also been adopted in the forest directive on the use of forest reproductive material and we feel that this text urgently needs to be adopted in this directive as well."
1839,"Die Kommission hat im Ausschuß darauf verwiesen, daß sie vorsieht, in Zukunft eine novel food-Richtlinie vorzulegen.",The Commission pointed out in committee that it plans to present a novel feed directive in the future.
1840,"Das sollte jedoch kein Hindernis dafür sein, jetzt schon in diesem Falle die Angleichung vorzunehmen, um hier bei unterschiedlichen Richtlinien keine Rechtsunsicherheit entstehen zu lassen.","However, that should not prevent us from harmonising the text in order to ensure that there is no legal uncertainty between the various directives."
1841,"Daher gehen wir davon aus, daß Sie unseren Änderungsantrag bezüglich dieser genetisch veränderten Organismen auch annehmen.",We are therefore assuming that you will accept our proposed amendment with regard to genetically-modified organisms.
1842,"Die Tatsache, daß in dieser Richtlinie 70/524 noch der alte Text steht, hat damit zu tun, daß die Saatgutrichtlinie 1986 im Parlament vorgelegt wurde und wir bis 1988 mit der Kommission verhandelt haben, während der Bericht zu dieser Richtlinie 1994 behandelt wurde, und offensichtlich hat das Parlament damals den genetisch veränderten Organismen nicht die gleiche Bedeutung zugemessen, wie wir das dann später getan haben, als ich Berichterstatter war.","Directive 70/524 still contains the old text because the seed directive was submitted to Parliament in 1986 and we then negotiated with the Commission until 1988, while the report on this directive was dealt with in 1994 and Parliament obviously did not accord genetically-modified organisms the same importance then as it did later when I was rapporteur."
1843,"Von daher sind wir der Ansicht, Herr Kommissar Byrne, daß die von uns eingereichten Änderungsanträge auch hinsichtlich der Rechtsgrundlage von Ihnen angenommen werden.","We therefore assume, Commissioner Byrne, that you too will accept our proposed amendment of the legal base."
1844,"Wenn das nicht der Fall ist, müssen wir uns vorbehalten, diesen Bericht in den Ausschuß zurückzuüberweisen, um dann, ähnlich wie wir das bei der Saatgutrichtlinie getan haben, mit Ihnen über diesen sensiblen Punkt in Verhandlung zu treten, wobei ich noch einmal darauf hinweise, daß der Text, den wir jetzt ausgearbeitet haben, sowohl für Ihren als auch für unseren Rechtsdienst als Kompromiß Gültigkeit hat.","If you do not, we must reserve the right to refer this report back to committee and then negotiate this sensitive point with you, exactly as we did with the seed directive. I should point out that the text which we have now worked out is a valid compromise, both for your legal service and ours."
1845,"Wir müssen also nicht neu über den Text verhandeln, sondern wir müssen nur diesen Text in diese Richtlinie aufnehmen.","In other words, we do not need to re-negotiate the text; we merely need to adopt this text in the directive."
1846,"Ich bin gespannt, Herr Kommissar Byrne, was Sie zu unseren Vorschlägen sagen werden!","I can hardly wait, Commissioner Byrne, to hear what you have to say to our proposals."
1847,Herr Präsident! Herr Kommissar! Ist die Regelung der Zusatzstoffe in Futtermitteln eine Angelegenheit des Wettbewerbs oder der Verbraucherpolitik?,"Mr President, Commissioner, does regulating additives in feedingstuffs come under competition or consumer policy?"
1848,Für die Kommission und den Rechtsausschuß ist es eine Frage des Wettbewerbs.,"As far the Commission and the Legal Affairs Committee are concerned, it comes under competition."
1849,Sicherlich müssen wir der Wettbewerbsfähigkeit der Futtermittelindustrie durch die Harmonisierung der Vorschriften für vor und nach 1988 zugelassene Stoffe Rechnung tragen.,Of course we have to take account of the competitiveness of the feedingstuffs industry by harmonising provisions for substances authorised before and after 1988.
1850,"Ein Anstieg der Futtermittelpreise ist zu verhindern, und deshalb sind die Änderungsanträge 4 und 5 von Herrn Doyle zu unterstützen.",We want to prevent the prices of feedingstuffs from rising and Mr Doyle' s proposed Amendments Nos 4 and 5 therefore deserve our support.
1851,"In erster Linie handelt es sich aber, wie Herr Graefe zu Baringdorf es in seinem Bericht formuliert hat, um ein verbraucherpolitisches Thema.","However, as Mr Graefe zu Baringdorf has said in his report, this is first and foremost a consumer policy matter."
1852,Die Lebensmittelsicherheit muß bei allen Diskussionen über die Tierernährung absoluten Vorrang haben.,Food safety must take absolute priority over feedingstuffs in all our discussions.
1853,"Wenn wir von der Transparenz der Nahrungskette sprechen, so gilt das von der Mistgabel bis zur Eßgabel, und so fängt folgerichtig Verbraucherschutz beim Tierfutter an.","When we talk of transparency in the food chain, that applies from the hayfork to the table fork and consumer protection therefore logically starts with feedingstuffs."
1854,"Dem Tierfutter beigemischte Antibiotika, Wachstumsförderer und gentechnisch veränderte Organismen gelangen schließlich doch in die Nahrungskette des Menschen.","The antibiotics, growth promoters and genetically-modified organisms mixed in with feedingstuffs end up in the human food chain."
1855,"Als Konsequenz aus dem Dioxinskandal war uns allen klar, daß wir aus dieser Schmuddelecke endlich heraustreten müssen. Die Regelung der Zusatzstoffe in der Tierernährung ist ein Schritt in die richtige Richtung.",The dioxin scandal brought home to us that we have to get out of this mess once and for all and regulating additives in feedingstuffs is a step in the right direction.
1856,Nach Artikel 152 des EG-Vertrages sind wir zur Beseitigung von Ursachen für die Gefährdung der menschlichen Gesundheit verpflichtet. Die Betonung liegt eindeutig auf Ursachen.,"According to Article 152 of the EC Treaty, we are obliged to obviate sources of danger to human health, whereby the accent is clearly on sources."
1857,Konsequenterweise müssen wir den originären Schadstoffquellen - schädlichen Zusatzstoffen im Tierfutter - den Hahn zudrehen.,"Consequently, we must cut off the supply of the original source of danger, i.e. harmful additives in feedingstuffs."
1858,"Andernfalls, so finde ich, laborieren wir an den Symptomen, bekämpfen aber nicht die Ursachen.","Otherwise, in my view, we are beavering away at the symptoms, but not the causes."
1859,Besonders gegenüber dem Einsatz von GVO ist die Bevölkerung sehr kritisch.,People are especially wary of GMOs.
1860,Wir müssen uns der wachsenden Sensibilisierung der Bevölkerung gegenüber GVO stellen und dementsprechend den Einsatz in Futtermitteln regeln.,We must confront increasing public awareness of GMOs by regulating their use in feedingstuffs accordingly.
1861,"Erstens, besteht ein Zusatzstoff aus gentechnisch veränderten Organismen oder enthält er solche Organismen, darf dieser Zusatzstoff nur zugelassen werden, wenn er für die menschliche Gesundheit und die Umwelt unbedenklich ist.","First, if an additive consists of or contains genetically-modified organisms, then it should only be authorised if it poses no risk to human health or the environment."
1862,"Zweitens, es macht Sinn, analog zu den Regelungen im Saatgutverkehrsgesetz, wie auch der Berichterstatter es angesprochen hat, Vorschriften für gentechnisch veränderte Futtermittelzusatzstoffe zu erlassen.","Secondly, it makes sense to issue provisions for genetically-modified feedingstuff additives similar to the regulations in seed marketing legislation, as the rapporteur has said."
1863,"Und drittens, im Sinne einer transparenten Verbraucherpolitik brauchen wir eine Etikettierung von gentechnisch veränderten Futtermitteln.","And thirdly, if we are to have a transparent consumer policy, we need to label genetically-modified feedingstuffs."
1864,"Diese eindeutige Deklarierung von Futtermitteln ermöglicht also eine doppelte Entscheidungsfreiheit, sowohl für den Nutzer von Tierfutter als auch den späteren Verbraucher.","A clear declaration on feedingstuffs will allow double freedom of choice, both for the party using the feedingstuff and the subsequent consumer."
1865,Der mündige Bürger sollte - so finde ich - die Entscheidung haben.,"Responsible citizens should, in my view, have a choice."
1866,"Wir sprechen alle von den skandalgebeutelten Bürgern, die das Vertrauen in die Lebensmittelsicherheit verloren haben.",We all talk of scandalised citizens who have lost confidence in food safety.
1867,"Mit der konsequenten Regelung der Zusatzstoffe im Tierfutter können wir nun einen wesentlichen Beitrag dazu leisten, Vertrauen zurückzugewinnen.","By regulating additives in feedingstuffs consistently, we can help significantly to restore confidence."
1868,"Demzufolge bin ich also auch sehr gespannt auf ihre Einlassung, was unsere Änderungsvorschläge angeht.","I too, therefore, can hardly wait to hear what you have to say to our proposed amendments."
1869,"Demzufolge werden wir natürlich so votieren, daß wir den Vorschlag unter Umständen wieder in den Ausschuß zurücküberweisen.","Consequently, we too shall also vote to reserve our right to refer the proposal back to committee if need be."
1870,"Herr Präsident, liebe Kolleginnen und Kollegen! Der vorliegende Vorschlag zur Änderung der Richtlinie über Zusatzstoffe in der Tierernährung aus dem Jahre 1970 ist der erste einer ganzen Reihe von Vorschlägen zum Thema Futtermittel.","Mr President, this proposal to amend the 1970 directive on additives in feedingstuffs is the first in a whole series of proposals on the subject of feedingstuffs."
1871,Wir werden also in den nächsten Monaten hier im Parlament noch einige diskutieren.,"In other words, we shall be discussing other proposals here in Parliament over the next few months."
1872,"Daß dieses Thema zentrale Bedeutung hat, beweist die große Aufmerksamkeit, die die europäische Öffentlichkeit den Skandalen um Dioxin, Antibiotika, Klärschlämme usw. geschenkt hat.","That this subject is of paramount importance is borne out by the huge public attention which the dioxin, antibiotic, sludge and other scandals have attracted."
1873,"Es geht hier also um ein wichtiges Element des Schutzes der öffentlichen Gesundheit. Deshalb sind wir der Meinung, daß der Artikel 152 als Rechtsgrundlage heranzuziehen ist und nicht Artikel 37, wie von der Kommission vorgeschlagen.","In other words, this is an important facet of public health protection, which is why we believe that Article 152 should be taken as the legal base, not Article 37, as proposed by the Commission."
1874,"Die Änderung, welche die Kommission vorgeschlagen hat, nämlich eine Gleichbehandlung der Zusatzstoffe, die nach bzw. vor dem 31.12.1987 zugelassen wurden, ist unstrittig und hat unsere volle Unterstützung.","The amendment which the Commission has proposed, namely equal treatment for additives authorised before or after 31 December 1987, is uncontested and has our full support."
1875,Der Ausschuß für Landwirtschaft und ländliche Entwicklung hat jedoch einstimmig einige wichtige Änderungen am Kommissionsvorschlag vorgenommen.,"However, the Committee on Agriculture and Rural Development has voted unanimously on some important amendments to the Commission proposal."
1876,Die von der Kommission vorgeschlagene Regelung birgt die Gefahr der Monopolbildung bei der Vermarktung bestimmter Zusatzstoffe.,The regulation proposed by the Commission conceals the danger of creating a marketing monopoly for certain additives.
1877,"Es wird nur demjenigen das Antragsrecht eingeräumt, der die ursprüngliche Genehmigung erhielt, jedoch werden die Firmen ausgeschlossen, die später eine Genehmigung erhalten haben.",Only companies which obtained the original authorisation will have the right to apply and companies which obtained authorisation at a later date will be excluded.
1878,"Eine solche Monopolbildung, die beispielsweise zu einem Anstieg der Futtermittelpreise führen könnte, sollten wir verhindern, indem wir allen Firmen, die am 1. April 1998 einen bestimmten Stoff vermarktet haben, eine vorläufige Zulassung erteilen.","This sort of monopoly, which could lead, for example, to an increase in the price of feedingstuffs, should be prevented by granting provisional authorisation to all companies which had marketed a specific substance by 1 April 1998."
1879,"Diese gilt dann solange, bis das Reevaluierungsverfahren abgeschlossen ist.",This would then apply until the re-assessment procedure has been completed.
1880,Die wichtigste Änderung gegenüber dem Kommissionsvorschlag betrifft allerdings die vom Berichterstatter empfohlene Aufnahme von Bestimmungen über genetisch veränderte Organismen in die Richtlinie über die Zusatzstoffe. Er hat hier den zwischen Parlament und Kommission ausgehandelten Kompromiß über die Zulassung von GVO außerhalb der Freisetzungsrichtlinie zum Ausgangspunkt genommen.,"The most important amendment to the Commission proposal is the inclusion, as recommended by the rapporteur, of genetically-modified organisms in the directive on additives, taking the compromise negotiated between Parliament and the Commission on authorisation for GMOs outside the scope of the release directive as the starting point."
1881,Dieser stellt bereits die Grundlage für die Zulassung von GVO dar.,This already gives us a basis for the authorisation of GMOs.
1882,"So ist es nur logisch, entsprechend den Regelungen, die wir in anderen Bereichen bereits verabschiedet haben - ich nenne nur den Bereich forstliches Vermehrungsgut -, auch im vorliegenden Fall Bestimmungen zu gentechnisch veränderten Futtermittelzusatzstoffen vorzusehen.","It is therefore only logical that we make provision for genetically modified feedingstuff additives in this case, just as we have in regulations already passed in other areas, such as forest reproductive material, to mention just one example."
1883,Insbesondere die Kennzeichnung genetisch veränderter Zusatzstoffe spielt hier eine wichtige Rolle.,The labelling of genetically-modified additives is particularly important in this respect.
1884,"Sie erlaubt einerseits dem Landwirt, eine bewußte Entscheidung darüber zu treffen, ob er solche Futtermittel einsetzen möchte oder nicht, und ermöglicht andererseits dem Verbraucher, Nahrungsmittel, die auf der Basis von GVO hergestellt wurden, abzulehnen.","On the one hand, it enables farmers to make an informed decision as to whether or not they wish to use such feedingstuffs and, on the other hand, it enables consumers to avoid foodstuffs produced using GMOs."
1885,"Zum Schluß noch einen herzlichen Dank unserer Fraktion an den Berichterstatter, der sich große Mühe gegeben hat.","Finally, our group should like once again to thank the rapporteur, who has gone to a great deal of trouble."
1886,"Ich denke, daß wir auf die Antwort von Herrn Byrne gespannt sein können.",I think that we can all hardly wait to hear Mr Byrne' s reply.
1887,"Herr Präsident, meine Damen und Herren Abgeordneten! Das Vorhandensein technisch hoch entwickelter Zusatzstoffe in der Futtermittelbranche erfordert detaillierte Informationen der Akteure - und das sind bekanntlich recht viele - über deren Einsatz, um Praktiken, die gegen gemeinschaftliches Recht verstoßen, einen Riegel vorzuschieben.","Mr President, because of the availability of high-technology additives in the feedingstuffs industry, detailed information on their use is needed from the actors, and as we know there are a lot of them, so that we can put a stop to practices which infringe Community law."
1888,Die vorhandene Richtlinie über Zusatzstoffe in der Tierernährung kann das allein nicht leisten.,This directive on additives in feedingstuffs cannot achieve this on its own.
1889,"Andere Richtlinien werden folgen, und ich bin der Ansicht, daß sie im Ausschuß für Landwirtschaft gut plaziert sind.",Other directives will follow and I believe that the Committee on Agriculture is well placed to deal with them.
1890,"Bis zum Verkauf von Fleisch, Milch, Brot und anderen Produkten über die Ladentheke werden Futtermittel und Zusatzstoffe mehrfach strukturiert, vermischt, verschnitten, zerschnitten und vielfach transportiert.","Up the point at which meat, milk, bread and other products are sold over the shop counter, feedingstuffs and additives are structured, mixed, blended, cut and transported several times."
1891,Der Kampf der Futtermittelproduzenten um höchste Marktanteile ist genau wie im Bereich der Lebensmittelproduktion sehr problematisch.,"The fight by feedingstuff manufacturers to gain maximum market shares causes a lot of problems, just as it does in the foodstuffs industry."
1892,"Die negativen Folgen sind bekannt, die positiven weniger.","The negative consequences are well known, the positive ones less so."
1893,"Ich bin der festen Überzeugung, daß in der ökologischen Kette die Gesundheit der europäischen Verbraucher am sinnvollsten durch Nahrungs- und Futtermittelproduktion in der Region für die Region geschützt werden kann.",I am firmly convinced that the most sensible way of protecting the health of European citizens in the ecological chain is through the production of feedingstuffs in the region for the region.
1894,Dies bedarf jedoch noch weiterer Arbeit.,"However, more work is needed on this."
1895,"Herr Präsident! Seit BSE-Zeiten haben wir in diesem Hause immer wieder gesagt, daß Tierernährung eines der wichtigsten und ersten Elemente für die sichere Produktion von Lebensmitteln, für Gesundheit und Schutz der Verbraucherinnen und Verbraucher ist.","Mr President, we have said in this House time and again since the BSE crisis that feedingstuffs are one of the first and most important factors in safe food production and in consumer health and protection."
1896,"Deshalb freuen wir uns, daß die Kommission einen Vorschlag zu Zusatzstoffen für Futtermittel vorlegt.",We therefore welcome the Commission' s proposal on additives in feedingstuffs.
1897,"Der Ausschuß, für den ich hier spreche, nämlich der Ausschuß für Umweltfragen, Volksgesundheit und Verbraucherschutz, hat - ausgehend davon, daß der Vorsitzende des Landwirtschaftsausschusses als Berichterstatter einen so guten Bericht ausarbeiten wird - im Dezember beschlossen, daß wir auf eine Stellungnahme verzichten können.","The Committee on behalf of which I am speaking, namely the Committee on the Environment, Public Health and Consumer Protection, decided in December, on the assumption that the chairman of the Committee on Agriculture would draft such a good report, that we could waive our opinion."
1898,Trotzdem möchte ich ein paar Sätze dazu sagen und zu einigen Punkten Stellung nehmen.,"Nevertheless, I should like to say a few words on the report and express a view on a number of points."
1899,Als erstes vielleicht etwas zur Frage der Rechtsgrundlage.,"First, perhaps, I should say something on the question of the legal base."
1900,"Auch wenn wir in diesem Parlament eine neue Geschäftsordnung haben - und es durchaus sein kann, daß mit dem sehr ambitiösen Vorsitzenden des Landwirtschaftsausschusses immer häufiger Probleme zwischen dem Landwirtschaftsausschuß und dem Umweltausschuß in der Frage der Zuständigkeit für Gesetzgebungen auftauchen können -, wird für mich trotzdem in solchen Konflikten immer eines ganz klar sein: Der Zusammenhalt in diesem Parlament ist entscheidend, und die Rechtsgrundlage einer Angelegenheit ist für mich entscheidend.","Even if we have new Rules of Procedure in Parliament, and it may well be that, with such an ambitious chairman in the Committee on Agriculture, problems of legislative competence will arise more and more frequently between the Committee on Agriculture and the Committee on the Environment, one thing is always crystal clear for me in this sort of conflict: cohesion in this Parliament is crucial and the legal basis of a question is crucial as far as I am concerned."
1901,"Deshalb - das muß ich Ihnen sagen, Herr Byrne - verurteile ich die Wahl der Rechtsgrundlage.","Therefore, and I must address this comment to you Mr Byrne, I reject your choice of legal basis."
1902,"Wenn sie nur eine tradierte und aus den früheren Richtlinien übernommene Rechtsgrundlage ist, dann ist es ein Fehler, sie beizubehalten.","If it is merely a hand-me-down legal basis taken over from previous directives, then it is a mistake to keep it."
