,pl,en
3247,"Po trzecie, należy podnieść limit de minimis na przykład do pięćdziesięciu tysięcy hektolitrów, co przyczyni się do rozwoju lokalnego winiarstwa w państwach produkujących niewielkie ilości wina przez jego aktywizację.","Thirdly, the de minimis level should be increased to 50 000 hectolitres, for example. This would stimulate production and contribute to the development of local winemaking in countries that do not produce large quantities of wine."
3248,Zmiana ta w żaden sposób nie wpłynie na wspólnotowy rynek wina.,The change would not have any impact on the Community market in wine.
3249,w imieniu grupy UEN. - Pani Przewodnicząca! W mieniu grupy UEN wyrażam poparcie dla sprawozdania pana Muldera.,"on behalf of the UEN Group. - Madam President, on behalf of the Union for Europe of the Nations Group, I should like to express our support for Mr Mulder."
3250,"Sprawozdanie jest sporządzone w duchu troski o to, by zasada współzależności i związane z nią kontrole nie prowadziły do nieuzasadnionych krzywd rolników.",The concern underpinning the report has been to ensure that the principle of cross-compliance and its associated controls do not penalise farmers unjustifiably.
3251,"Rolnictwo nie jest zwykłą działalnością gospodarczą, ale jest szczególną misją społeczną.",Agriculture is not simply one more economic activity. It has a specific social role.
3252,"Dopłaty uzależnione od spełnienia wielu warunków środowiskowych służą nie tylko rolnikom, ale całemu społeczeństwu.",Payments conditional on fulfilling many environmental requirements are not only beneficial to farmers but also to society as a whole.
3253,"To ogólnospołeczne znaczenie dopłat powinniśmy zawsze podkreślać i wyjaśniać, bo znaczna część społeczeństwa o tym nie wie.",This broad social role of payments should constantly be emphasised. A significant sector of society is unaware of this role and it should be explained to them.
3254,"I rzecz szczególnie ważna - wymagamy współzależności od naszych rolników, stawiamy im warunki - wymagajmy takich samych warunków od tych, którzy eksportują swoje produkty rolne do Europy.",I should like to make a very important point. We require our farmers to abide by the principle of cross-compliance.
3255,Zwłaszcza wymagania w zakresie dobrostanu zwierząt powinny być bezwzględnie stosowane w imporcie.,We impose conditions on them. We should impose the same conditions on those who export their agricultural products to Europe.
3256,"Przemawiają za tym zarówno względy humanitarne, jak i gospodarcze.","In particular, the requirements concerning animal welfare should be imposed on all imports without exception. Economic and humanitarian interests require this to be the case."
3257,"Pani Przewodnicząca! Pani Komisarz! Każda działalność i produkcja rolnicza powinna spełniać wymogi ochrony środowiska, wymogi bezpieczeństwa i jakości oraz dobrostanu zwierząt.","Madam President, Commissioner, all types of agricultural activity and production should comply with the requirements concerning environmental protection, safety, quality and animal welfare."
3258,Sprawozdanie pana Muldera zawiera wiele ważnych w tym zakresie postulatów.,Mr Mulder's report contains many important provisions in that regard.
3259,"Proszę Panią Komisarz o zwrócenie uwagi zwłaszcza na cztery poprawki: nr 19, 26, 27 i 29. Aby umożliwić właściwe wdrożenie systemu cross-compliance w nowych państwach członkowskich, uwzględniając przy tym oczekiwania społeczne, należy go wprowadzać stopniowo.","I would ask the Commissioner to focus in particular on four amendments, namely Amendments 19, 26, 27 and 29. If the cross-compliance system is to be properly implemented in the new Member States whilst also responding to society's expectations, it will have to be introduced in stages."
3260,"Pełny zakres wymagań powinien obejmować te kraje dopiero w momencie osiągnięcia pełnych dopłat bezpośrednich, to jest w 2013 roku.","The full range of requirements should only come into force in those countries in 2013, when they begin to receive full direct payments."
3261,"Pamiętajmy, że środki z perspektywy finansowej 2007-2013 służą tym dostosowaniem gospodarstwom rolnym, służą tym inwestycjom.",We should bear in mind that the financial perspective 2007-2013 does provide resources to enable holdings to adjust and for investment.
3262,"Pani Komisarz, wymogi, standardy stawiane naszym rolnikom są bardziej restrykcyjne niż w krajach trzecich.","Commissioner, the requirements and standards imposed on our farmers are stricter than in third countries."
3263,Powinniśmy ich wspierać i chronić przed nieuczciwą konkurencją.,We need to support our farmers and protect them from unfair competition.
3264,"Importowane produkty powinny podlegać tym samym standardom w procesie produkcji, co produkty unijne.",Imported products must comply with the same production process standards as Union products.
3265,"na piśmie. - Z zadowoleniem przyjmuję opóźnienie wprowadzenia kosztownych wymogów związanych ze współzależnością dla nowych państw członkowskich (NPC, UE-10).",in writing. - I welcome the postponement of implementation of the expensive requirements relating to cross-compliance for the new Member States (the so-called new Ten).
3266,Jest to uzasadnione.,This is certainly justified.
3267,"Państwa te nie otrzymują bowiem pełnych dopłat bezpośrednich, które stanowią już największą część wszystkich wydatków na rolnictwo w Unii Europejskiej.",The countries concerned are not yet receiving the full direct payments that already represent the lion's share of all expenditure on agriculture in the European Union.
3268,Z zadowoleniem można też przyjąć przedłużenie możliwości stosowania jednolitych płatności obszarowych (SAPS) przez nowe państwa członkowskie z 2010 r. do końca 2013 r.,I also welcome the extension of the possibility for the new Member States to benefit from Single Area Payments (SAPS) from 2010 to 2013.
3269,Uniknie się w ten sposób zbędnego i dużego obciążenia finansowego NPC na wprowadzanie systemu jednolitych płatności (SPS).,This will avoid placing a heavy and unnecessary burden on the new Member States in connection with implementation of the Single Payments System (SPS).
3270,Te kierunkowo dobre rozwiązania nie mogą nam jednak przesłaniać dramatycznej sytuacji w dystrybucji środków między nowe i stare państwa członkowskie.,"This is a move in the right direction, but we should not allow it to obscure the serious situation concerning the distribution of resources between the old and the new Member States. According to the most recent information available, dating from 2005, the new Member States have received EUR 1.5 billion in direct payments."
3271,"NPC, według najnowszych dostępnych danych (2005 r.), otrzymały 1,5 mld € dopłat bezpośrednich tj. 21 razy mniej od starych państw członkowskich (SPC, UE-15) - beneficjentów miały natomiast tylko 2,4 razy mniej (odpowiednio 2,0 i 4,9 mln).","This is 21 times less than the old Fifteen. The beneficiaries, however, only received 2.4 times less (EUR 2 million and EUR 4.9 million respectively)."
3272,"Te ogromne różnice mają także odbicie w średniej płatności otrzymywanej przez beneficjenta - dla NPC wynosiła ona 723 €, a dla SPC 6 327 € czyli prawie dziewięciokrotnie więcej!","These enormous differences are also reflected in the average payments received by each beneficiary. For the new Member States it amounted to EUR 723, whereas for the old Fifteen it was EUR 6 327, which is almost nine times more!"
3273,"Przedłużająca się dyskryminacja NPC krzywdzi nie tylko rolników z tych państw, ale kompromituje istotę Wspólnej Polityki Rolnej (WPR) i rozwój rolnictwa w całej Unii Europejskiej!",Ongoing discrimination against the new Member States is detrimental to farmers in those countries. It also calls into question the very spirit of the common agricultural policy and the development of agriculture across the whole of the European Union.
3274,(Posiedzenie zostało zawieszone o godz. 11.25 i wznowione o godz. 11.30),(The sitting was suspended at 11.25 a.m. and resumed at 11.30 a.m.)
3275,na piśmie. - Głosuję za przyjęciem sprawozdania pana posła Paolo Costy zmian umowy w sprawie niektórych aspektów usług lotniczych pomiędzy WE/Maroko.,in writing. - I voted in favour of the report by Mr Costa on amendment of the agreement between the European Community and the Kingdom of Morocco on certain aspects of air services.
3276,Wniosek dotyczy decyzji Rady w sprawie zawarcia protokołu zmieniającego umowę pomiędzy Wspólnotą Europejską a Królestwem Maroka w sprawie niektórych aspektów usług lotniczych w celu uwzględnienia przystąpienia Republiki Bułgarii i Rumunii do Unii Europejskiej.,This relates to a proposal for a Council decision on agreeing a Protocol amending the Agreement between the European Community and the Kingdom of Morocco on certain aspects of air services to take account of the accession to the European Union of the Republic of Bulgaria and the Republic of Romania.
3277,Protokół przewiduje niezbędne zmiany w dwustronnych umowach dotyczących usług lotniczych zawartych pomiędzy Królestwem Maroka a Republiką Bułgarii i Rumunią w związku z przystąpieniem tych krajów do Unii Europejskiej.,The Protocol provides for essential changes to bilateral agreements on air services between the Kingdom of Morocco and the Republic of Bulgaria and the Republic of Romania pursuant to the accession of the latter two countries to the European Union.
3278,"Zarówno Bułgaria jak i Rumunia zawarły z Królestwem Maroka umowę o komunikacji lotniczej odpowiednio w 1966 i 1971 roku, natomiast Wspólnota Europejska zawarła umowę horyzontalną w grudniu 2006 roku.","Both Bulgaria and Romania had previously concluded agreements on air services with Morocco, in 1966 and 1971 respectively. The European Community, however, concluded a horizontal agreement in December 2006."
3279,"Należy, zatem dostosować umowy do prawa wspólnotowego i umożliwić obu nowym państwom członkowskim przystąpienia do umowy horyzontalnej.",It is therefore necessary to adjust the agreements to Community legislation and enable both new Member States to accede to the horizontal agreement.
3280,"na piśmie. - Parlament Europejski został poproszony o opinię w sprawie dalszego stosowania przepisów przejściowych dotyczących stawek VAT, w ramach toczących się na ten temat debat i dzisiaj jego opinię głosujemy.","in writing. - In the context of the ongoing debate on transitional VAT rates, the European Parliament was asked for its opinion regarding extension of the temporary provisions concerning these rates. We are today voting on this opinion."
3281,"Mimo, że jest ona trochę spóźniona, gdyż wiemy, że Unia Europejska zadecydowała już o kontynuowaniu po 1 stycznia 2008 roku stosowania preferencyjnych stawek VAT, uważam, że jest to opinia bardzo ważna.","It somewhat belated, as we are aware that the European Union has decided to continue applying preferential VAT rates after 1 January 2008. Nonetheless, I believe this is a very important opinion."
3282,"Oczywiście dla państw członkowskich, które weszły do Unii w 2004 roku, jest to bardzo słuszna decyzja, którą szeroko popieramy.","It certainly is the right decision for the countries that joined the Union in 2004, and we fully endorse it."
3283,Opinia Parlamentu w tej sprawie jest jednoznaczna i opowiada się za utrzymaniem niektórych przepisów przejściowych dotyczących stawek podatku VAT.,Parliament's opinion on the subject is unambiguous and advocates retaining certain temporary provisions concerning VAT rates.
3284,Decyzja ta zasługuje na szerokie poparcie.,The decision merits broad support.
3285,"Komisja Budżetowa Parlamentu Europejskiego wyraziła poparcie dla czterech nowych instytucji, przewidzianych w ramach 7-ego Programu Ramowego, w nadziei, iż założony w nich model partnerstwa publiczno-prywatnego okaże się bardziej realistyczny, iż miało to miejsce w przypadku programu Galileo.",Parliament's Committee on Budgets expressed its support for the four new institutions provided for under the Seventh Framework Programme. It did so in the hope that the public-private partnership model devised for them will prove more realistic than was the case for the Galileo Programme.
3286,"Ramy czasowe i budżetowe ARTEMIS i innych wspólnych przedsięwzięć (2008-2013) odbiegają od standardu finansowania, tj. siedmioletniej Perspektywy Finansowej 2007-2013, co w przyszłości może zrodzić pewne problemy.","It should be noted, however, that the time frame and budgetary arrangements for ARTEMIS and the other joint undertakings (2008-2013) are not in line with standard financial arrangements laid down in the seven-year financial perspective 2007-2013. This could give rise to certain problems in the future."
3287,"Zwraca naszą uwagę stosunkowo niski udział kosztów administracyjnych (84 mln euro w latach 2008-17) w całkowitym kosztorysie czterech wspólnych przedsięwzięć - około 3,5%, co jest dodatkowym argumentem.","We also noted the relatively low figure allocated to administrative costs in the breakdown of total expenditure on the four joint undertakings, namely EUR 84 million for the years 2008-2017. This represents around 3.5% of the total expenditure and substantiates our concerns."
3288,Pytanie o mnożenie instytucji w ramach Unii Europejskiej pozostaje jednak otwarte i dotyczy nie tylko obudowy instytucjonalnej 7-ego Programu Ramowego.,"The question of proliferation of institutions within the framework of the European Union remains open, however, and does not only involve the institutional reconstruction of the Seventh Framework Programme."
3289,"na piśmie. - Temat leków innowacyjnych jest mi szczególnie bliski, gdyż jestem aktywnie zaangażowana w Polsce w pomoc dzieciom cierpiącym na rzadkie choroby genetyczne.","in writing. - The subject of innovative medicines is particularly close to my heart, because I am actively involved in Poland with helping children suffering from rare genetic diseases."
3290,"Dzieci te nie są niestety objęte żadnymi programami zdrowotnymi, a leki, które są im potrzebne są za drogie.","Unfortunately, these children are not covered by any health insurance programmes, and the medicines they require are too expensive."
3291,W większości państw Unii Europejskiej leki potrzebne do utrzymania dzieci przy życiu i dania im szansy na prawie normalne życie są refundowane.,"In most European countries, the cost of the medicines needed to keep such children alive and give them the opportunity to live near-normal lives is refunded."
3292,"Jako poseł do Parlamentu Europejskiego zdaję sobie sprawę z tego, jak ważne jest europejskie podejście do całego zagadnienia leków, ich innowacyjności, wsparcie przez Unię programów badawczych, naukowców, zachęcanie firm farmaceutycznych do prowadzenia badań nad nowymi lekami.","As a Member of the European Parliament, I realise how important a European approach to the whole issue of medicines is. I refer to innovation, Union support for research and for scientists, and also to Union encouragement of pharmaceutical concerns, urging them to develop new medicines."
3293,"Uważam, że sprawozdanie pani Grossetête jest bardzo ważne.","In my opinion, the report by Mrs Grossetête is very important indeed."
3294,"Zgadzam się, że Unia musi przestawić się na nowy, bardziej wydatny sposób zarządzania badaniami i innowacjami, które przyczyniają się do rozwoju gospodarczego naszego kontynentu, przynosząc ulgę i często ratując życie naszym obywatelom.","I agree that the Union must change to a new and more effective method of managing research and innovation aimed at promoting the economic development of our continent, bringing relief to our citizens and even saving their lives in some cases."
3295,Propozycja Komisji Europejskiej tworzenia wspólnych inicjatyw technologicznych zharmonizuje i uprości finansowanie projektów.,The European Commission's proposal to create joint technology initiatives will harmonise and simplify project financing.
3296,"Jeśli chodzi o programy badawcze dotyczące innowacyjności leków, należy włączyć do współpracy małe i średnie przedsiębiorstwa, uniwersytety, pacjentów, szpitale, przemysł farmaceutyczny, po to, aby leki były pewniejsze, tańsze, dostępne.","With regard to research programmes on innovative medicines, it is important to involve SMEs, universities, patients, hospitals and the pharmaceutical industry, to ensure that medicines are safer, cheaper and more readily available."
3297,"Dlatego też bardzo dobrym rozwiązaniem są zaproponowane przez Komisję partnerstwa publiczno-prawne, które stanowią nową alternatywę dla sektora badań farmaceutycznych.",The public-private partnerships proposed by the Commission are therefore an excellent solution. They represent a new option for the pharmaceutical research sector.
3298,"na piśmie. - Jedynie w trzech krajach na świecie - w Chinach, USA i Rosji - wszystkie państwa członkowskie UE posiadają swoje przedstawicielstwa dyplomatyczne i konsularne.","in writing. - There are only three countries in the world where all European Union Member States have diplomatic and consular representation, namely China, the United States and Russia."
3299,W niektórych miejscach odwiedzanych przez turystów takich przedstawicielstw nie ma w ogóle.,There is no representation whatsoever in certain popular tourist destinations.
3300,"Inicjatywa Komisji, zgodnie z którą każdy obywatel europejski ma prawo do ochrony dyplomatycznej i konsularnej przez każde państwo członkowskie posiadające placówkę w państwie trzecim na takich samych warunkach jak obywatele tego państwa, ma sens tylko w przypadku braku ambasady lub placówki dyplomatycznej jednego z państw członkowskich w państwie trzecim.","Pursuant to the Commission's initiative, every European citizen is entitled to diplomatic and consular protection from any other Member State with a representation in a third country on the same conditions as the citizens of that other Member State. This is only relevant, however, when the home Member State has no embassy or diplomatic representation in a third country."
3301,I takie rozwiązanie popieram.,I am in favour of such a solution.
3302,"Niestety, ze względu na drugą część projektu rezolucji zmuszony byłem zagłosować przeciw, gdyż wzajemna praktyczna pomoc dyplomatyczno-konsularna nie może, w swych dalekosiężnych zamierzeniach, przejmować prerogatyw jakiegokolwiek państwa członkowskiego.","Unfortunately, in view of the content of the second part of this motion for a resolution, I was obliged to vote against it. Mutual practical diplomatic and consular assistance in the broadest sense of the notion must not involve assuming the competences of any other Member State."
3303,A niestety projekt tej rezolucji do tego zmierza.,"Regrettably, that is what the motion for a resolution aims to achieve."
3304,na piśmie. - W sprawie ochrony dyplomatycznej i konsularnej obywateli krajów Unii Europejskiej wstrzymałam się od głosu.,in writing. - I abstained in the vote on diplomatic and consular protection for citizens of European Union Member States.
3305,"Ze względów oczywistych jestem zainteresowana, by taka ochrona istniała.","Clearly, however, I would like such protection to be provided."
3306,"Przypadek pobicia przez policję belgijską Pana Posła Mario Borghezio i aresztowania go w dniu 11 września 2007 roku przed budynkiem Parlamentu Europejskiego, mimo, iż okazał legitymację poselską i informował o swoim immunitecie, wskazuje, że nie potrzeba szukać krajów trzecich, by wiedzieć, że z tą ochroną nie jest najlepiej, nawet wobec parlamentarzystów.","On 11 September 2007 the Belgian police beat up and arrested Mr Borgheio, a Member of the European Parliament, in front of the European Parliament's building even though he identified himself as an Member of the European Parliament and informed the police about his parliamentary immunity. This incident shows that it is not necessary to seek out third countries to appreciate that the protection provided is not as good as it could be, even in the case of parliamentarians."
3307,"Uważam, że najpierw trzeba zadbać o to, co dzieje się w najbliższym otoczeniu.",I believe we should first deal with the situation in our immediate vicinity.
3308,"na piśmie. - Żyjemy w 21. wieku i niestety, czy tego chcemy, czy nie, musimy się do nowych, szybko zmieniających, czasów, dostosować.","in writing. - We are living in the 21st century, and have no option but to adjust to new and fast-changing circumstances."
3309,Dlatego też bardzo wysoko oceniam sprawozdanie pana Heatona Harrisa o wprowadzeniu elektronicznego środowiska dla urzędów celnych i handlu.,That is why I warmly welcome the report by Mr Heaton Harris on the introduction of a paperless environment for customs and trade.
3310,Zapisy zawarte w tym dokumencie są dla nowoczesnej Europy bardzo ważne i pilne do wprowadzenia.,The provisions of this document are very relevant to modern Europe and should be introduced as a matter of urgency.
3311,"Zawierają one bowiem narzędzia do stworzenia nowej generacji środowiska pracy w służbach celnych i w handlu - generacji środowiska pozbawionego papierowej dokumentacji, tak potrzebnej dla odciążenia głównie naszych urzędników, tonących pod stosami niepotrzebnej administracyjnej, papierkowej dokumentacji.","They refer to the tools with which to create a new generation of working environment in customs and trade. I refer to the establishment of a paperless environment, which is so necessary mainly to relieve our officials, who are reeling from the demands of unnecessary administrative paper documentation."
3312,"Nie wspominając już o kwestiach ochrony środowiska i o ilościach drzew, które co roku musimy poświęcać na produkcję ton papieru potrzebnych do tej pracy.",We should also keep in mind issues pertaining to environmental protection and the quantities of trees that have to be sacrificed to meet the demand for paper required for this purpose.
3313,"Za szczególnie ważne i pilne uważam zelektronizowanie systemów celnych oraz stworzenie ""pojedynczego okienka” i ""punktu kompleksowej obsługi”.",I consider the introduction of electronic customs systems to be particularly important and urgent. I also advocate the creation of 'Single Window' and 'One-Stop Shop' facilities.
3314,"Jestem przekonana, że Europa powinna coraz więcej inwestować w tego rodzaju rozwiązania, aby deklaracje strategii lizbońskiej nie stały się jedynie pustymi hasłami.","I am convinced Europe should invest more in this type of solution, to ensure that the statements in the Lisbon Strategy become more than empty words."
3315,"Pani Przewodnicząca! Jako przedstawiciel jednego z ośmiu krajów, których najbardziej dotyczy to sprawozdanie, z racji tego, że w Polsce, a zwłaszcza w regionie Śląska - regionie najbardziej uprzemysłowionym - następuje znacząca koncentracja pyłów przekraczająca normy dzienne i roczne, o których mowa w sprawozdaniu, z pełną świadomością głosowałem za tym sprawozdaniem.","Madam President, I voted in favour of this report as a representative of one of the eight countries most directly concerned and fully aware of what is involved. I did so because in Poland there is a significant concentration of particles, in excess of the permitted daily and annual levels."
3316,"Uważam, że jest to krok w bardzo dobrym kierunku, gdy chodzi o ochronę środowiska i w moim kraju i w regionie Śląska.",It is the most industrialised region of the country. I consider this to be a step in a very positive direction as regards protecting the environment in my country in general and in Silesia in particular.
3317,w imieniu grupy UEN. - Panie Przewodniczący! Na dzisiejszym posiedzeniu ostatni raz dyskutujemy nad projektem budżetu Unii Europejskiej na 2008 rok.,"on behalf of the UEN Group. - Mr President, we are today discussing the draft 2008 European Union budget for the last time."
3318,"Wydaje się, że realizuje on nasze oczekiwania, choć jak zwykle, największe dyskusje wzbudza jego wysokość.","It appears to correspond to our expectations, though the most heated debate has centred on its size, as is usually the case."
3319,Musimy się jednak poruszać w ustalonych ramach i dostosować do nich poszczególne pozycje.,"Nonetheless, we have to operate within the agreed framework and adjust individual positions to it."
3320,"Staraliśmy się uwzględnić wszystkie poprawki, ale było to czasami niemożliwe, bo się wzajemnie wykluczały.","We endeavoured to take account of all the amendments, but sometimes this proved impossible, as they were mutually exclusive."
3321,"Najbardziej cieszy mnie fakt, że realizując zadania Europy jako partnera globalnego, staraliśmy się o maksymalne zwiększenie środków na działania w tym kierunku, a sądząc po dzisiejszym przemówieniu laureata nagrody Sacharowa, pana Saliha Mahmouda Osmana, świat na Unię Europejską bardzo liczy.","I am especially pleased that discharging Europe's responsibilities as a global partner we tried to increase resources for action of this nature as much as possible. On the basis of today's address by Mr Salih Mahmoud Osman, the Sakharov Prize laureate, the world is most certainly counting on the European Union."
3322,"Przedstawiając powyższe pragnę powiedzieć, że grupa UEN, w której imieniu przemawiam, będzie głosowała za przedłożonym projektem budżetu i bardzo serdecznie dziękuję wszystkim kolegom za to, co zrobiliśmy, że nas wszyscy chwalą.","In this connection I should like to say that the Union for Europe of the Nations Group, on whose behalf I am speaking, will vote in favour of the draft budget tabled. I should like to thank all colleagues very much for our achievement."
3323,Dziękuję bardzo!,Everyone has commended it. Thank you again.
3324,"Panie Przewodniczący! Budżet na rok 2008 nie napawa optymizmem, bo jest on najniższy od wielu lat w stosunku do dochodu narodowego brutto państw członkowskich, zarówno w środkach na zobowiązania, jak i w środkach na płatności.","Mr President, it is hard to be optimistic regarding the 2008 budget, because it is the lowest for many years in relation to the gross national income of the Member States, in terms of both commitment appropriations and payment appropriations."
3325,"Przypomnę, że w perspektywie finansowej na lata 2007-2013 pułap środków na zobowiązania na rok 2008 określono w wysokości 1,08 dochodu narodowego brutto, a na płatności 1,06 dochodu narodowego brutto.",I should like to remind the House that in the financial perspective 2007-2013 the ceiling for commitment appropriations for 2008 was set at 1.08% of gross national income. It was set at 1.06% of gross national income for payment appropriations.
3326,"Mamy więc, znaczne rozbieżności pomiędzy tym, co chciano finansować jeszcze 2 lata temu, a tym, co Unia Europejska chce finansować obecnie.","There is therefore a significant difference between what the European Union was prepared to finance only two years ago, and what it is now prepared to finance."
3327,"Nie można mieć więcej Europy za tak małe pieniądze w żadnej dziedzinie, na które przeznacza środki Unia Europejska.",We cannot have more Europe for such limited funding in any of the areas to which the European Union allocates financial resources.
3328,"Dobrze się stało, że postępowanie pojednawcze przyniosło porozumienie w sprawie finansowania programu Galileo i Europejskiego Instytutu Technologicznego.","I welcome the fact that the conciliation procedure resulted in an agreement on financing the Galileo programme and the European Institute of Technology. I hope, too, that the European Parliament will agree that budgetary reserves may be drawn on to finance the Frontex Agency."
3329,"Mam również nadzieję, że Parlament zgodzi się na uruchomienie rezerw budżetowych na finansowanie Agencji FRONTEX, co ma szczególne znaczenie dla takich krajów jak Polska, których granice już w grudniu staną się w pełni zewnętrznymi granicami Unii Europejskiej.",This is particularly significant for countries such as Poland. As early as December the borders of these countries will become the external borders of the European Union in the full sense of the term.
3330,"Panie Przewodniczący! Budżet na rok 2008, zarówno w swojej strukturze, jak i wielkości, jest świadectwem tego, iż jesteśmy ciągle we wstępnej fazie wdrażania programów wieloletnich nowej generacji, związanych z perspektywą finansową 2007-2013.","Mr President, in terms of both structure and size, the 2008 budget indicates that we are still at the early stages of introduction of new generation multiannual programmes linked to the financial perspective 2007-2013."
3331,Wyrazem tego jest choćby rekordowo niski poziom płatności w relacji do dochodu narodowego brutto.,One relevant example is the record low level of payments in relation to gross national income.
3332,"Mam cichą nadzieję, że beneficjenci tego budżetu w roku 2008 w miły sposób zaskoczą Parlament Europejski, a w niemiły sposób zaskoczą ministrów finansów zmuszając do tak zwanego amending bugdet z uwagi na większą niż nam się obecnie wydaje konsumpcję, zwłaszcza funduszy strukturalnych.","I am cautiously optimistic that in 2008 the beneficiaries of this budget will give the European Parliament a pleasant surprise, and simultaneously give an unpleasant one to the Finance Ministers by calling for a so-called amending budget as a result of higher implementation than currently estimated, notably concerning the Structural Funds."
3333,"Koncyliacja, która zwieńczona została sukcesem jest wspólnym sukcesem trzech instytucji uczestniczących.","Conciliation was extremely successful, and was indeed a joint success for the three participating institutions. I congratulate Mr Böge on his role as the head of Parliament's delegation."
3334,"Gratuluję Panu Böge jako szefowi delegacji parlamentarnej, gratuluję sprawozdawcom, sekretariatowi itd.","Congratulations are also due to the rapporteurs, the secretariat and others involved. As has already been mentioned in today's debate, however, the conciliation procedure generated an unpleasant impression."
3335,"Ta sama koncyliacja pozostawiła niemiłe wrażenie, iż mianowicie delegacja parlamentarna, o tym już było głośno w dzisiejszej debacie, jest nie tyle stroną uzgodnienia, czy uczestnikiem negocjacji, ale raczej kimś w rodzaju obserwatora układu deal making pomiędzy kilkoma delegacjami narodowymi, zainteresowanymi w szczególności sposobem finansowania, a może jeszcze bardziej kontraktami publicznymi, zamówieniami publicznymi związanymi z programem Galileo.","It felt as if rather than being actively involved in reaching the agreement and party to it, the role of Parliament's delegation was that of some kind of observer in a deal-making arrangement between certain national delegations. The latter were particularly interested in the method of financing and even more so in the public procurement contracts related to the Galileo programme."
3336,"To jest niemiłe wrażenie, które znalazło odzwierciedlenie później w pogłosach medialnych z tego wydarzenia, które przecież było koncyliacją budżetową a nie tylko spotkaniem ministrów finansów zainteresowanych krajów.",This unpleasant impression was subsequently reflected in media comments on the event. It should be remembered that the main purpose of the latter was budget conciliation.
3337,"Obiecuję, w imieniu Parlamentu, że wyciągniemy z tego wnioski w przyszłych spotkaniach tego typu w roku 2008.","It was more than simply a meeting between the Finance Ministers of interested countries. On behalf of the European Parliament, I hereby undertake that we will draw conclusions from this experience for future meetings of this nature in 2008."
3338,"w imieniu grupy UEN. - Panie Przewodniczący! Obrona praw człowieka powinna być kwestią sumienia, a nie takiej czy innej intelektualnej mody.","Mr President, defence of human rights should be a matter of conscience, rather than of keeping up with whatever the latest intellectual fashion happens to be."
3339,"Dlatego apeluję, aby działalność Unii Europejskiej w tej sprawie była w większym stopniu uwrażliwiona na kwestię wolności religijnej.",I therefore call for the European Union's activities in this area to be imbued with greater sensitivity towards the issue of religious freedom.
3340,Gwałt na sumieniach ludzi wierzących jest rosnącym i dramatycznym problemem.,"Believers' consciences are coming under attack ever more frequently, and the problem has now reached dramatic proportions."
3341,"Chiny, Birma, Korea Północna, Iran, Sudan, Erytrea, Wietnam, ale także Rosja, Indie, Arabia Saudyjska, Uzbekistan czy Kuba - czy to jest mało?","I could mention China, Burma, North Korea, Iran, Sudan, Eritrea, Vietnam and also Russia, Saudi Arabia, Uzbekistan and Cuba. Is that a long enough list?"
3342,"Dlatego razi słaba obecność tego problemu, szczególnie w pierwszej części sprawozdania.","It is therefore striking that so little attention is devoted to this problem, especially in the first part of the report."
3343,"Cieszy mnie awans problematyki płci i praw dzieci w naszej agendzie, ale lekceważenie wolności religijnej może być odczytywane jako przejaw uprzedzeń niektórych środowisk europejskich wobec wiary jako takiej.","I welcome the fact that gender issues and children's rights have been prioritised on our agenda, but regret the lack of attention to religious freedom. This may be interpreted as an indication that certain people in Europe are prejudiced against faith per se."
3344,"Pilnym postulatem jest opracowanie ogólnych wytycznych Unii Europejskiej w zakresie wolności religijnej, najbardziej bezkarnie łamanego prawa człowieka w dzisiejszym świecie.",The European Union should develop general guidelines on religious freedom as a matter of urgency. Religious freedom is the human right most commonly infringed with impunity in the contemporary world.
3345,Panie Przewodniczący! Mamy przed sobą roczne sprawozdanie Unii Europejskiej w dziedzinie praw człowieka.,"Mr President, we have before us the EU Annual Report on Human Rights. This is an excellent report."
3346,"Bardzo dobre sprawozdanie, jedno z najlepszych dokumentów, które ukazało się ostatnio w Unii Europejskiej, które jest pozytywnym przykładem koordynacji działań w sferze praw człowieka w obrębie głównych instytucji europejskich, w tym wypadku Rady oraz Komisji.","It is actually one of the best documents produced recently in the European Union and is a positive example of coordinated action in the area of human rights across the main European institutions, in this case the Council and the Commission."
3347,"Jednocześnie, Panie Przewodniczący, choćby z dzisiejszego przemówienia, tegorocznego laureata nagrody Sacharowa, Saliha Mahmounda Mohameda Osmana, w Parlamencie Europejskim wiemy, jak wiele jeszcze pozostaje do zrobienia.","Nonetheless, Mr President, we do realise that much still remains to be done. The winner of this year's Sakharov Prize, Mr Salih Mahmoud Mohamed Osman, has made this clear for instance in today's address to the House."
3348,"Należy się zastanowić, co zrobić, jakie działania podjąć, aby polityka Unii Europejskiej w obrębie praw człowieka była bardziej skuteczna.",We should consider what action is required to make the European Union's human rights policy more effective.
3349,"Myślę przede wszystkim o analizie w dziedzinie praw człowieka sytuacji w Rosji po wyborach, które odbyły się w tym kraju oraz sytuacji w Chinach w roku olimpiady, która odbędzie się w tym kraju w przyszłym roku.",I have in mind in particular a study of the situation regarding human rights in Russia following the elections in that country. I am also thinking of the situation in China in the run-up to the Olympic Games due to take place there next year.
3350,"Unia Europejska ma tutaj bardzo wiele do zrobienia, właśnie w dziedzinie praw człowieka.","There is a lot for the European Union to do there, especially regarding human rights."
